Mes;Unidades PPTO - MES;Unidades REAL - MES (FRCT);Cumplimiento Unds;Cumplimiento %;Unds PPTO Acum;Unds REAL Acum;Cumplimiento Unds;Cumplimiento %;Unidades REAL 2017;Unidades REAL vs 2017;Variación %;Facturación PPTO - MES;Facturación REAL - MES (FRCT);Cumplimiento $;Cumplimiento %;Facturación PPTO Acum;Facturación REAL Acum;Cumplimiento $;Cumplimiento %;Facturación REAL 2017- MES
ENE;831;706;-125;0.849578821;831;706;-125;0.849578821;571;135;0.23642732;277911051;323192292;45281241;1.162934294;277911051;323192292;45281241;1.162934294;210836717
FEB;978;879;-99;0.898773006;1809;1585;-224;0.876174682;727;152;0.209078404;335020467;351756468;16736001;1.04995516;612931518;674948760;62017242;1.101181356;183108586
MAR;883;837;-46;0.94790487;2692;2422;-270;0.899702823;966;-129;-0.133540373;292626859;387170716;94543857;1.323086737;905558377;1062119476;156561099;1.172889019;237566630
ABR;1212;852;-360;0.702970297;3904;3274;-630;0.838627049;715;137;0.191608392;405932626;278626744;-127305882;0.686386671;1311491003;1340746220;29255217;1.022306838;217735036
MAY;1239;829;-410;0.669087974;5143;4103;-1040;0.797783395;733;96;0.130968622;412367719;397916279;-14451440;0.964954968;1723858722;1738662499;14803777;1.008587581;235511691
JUN;1239;780;-459;0.629539952;6382;4883;-1499;0.765120652;744;36;0.048387097;417518226;294204335;-123313891;0.70465028;2141376948;2032866834;-108510114;0.949326944;233132377
JUL;1220;1102;-118;0.903278689;7602;5985;-1617;0.787292818;641;461;0.719188768;402882650;387780662;-15101988;0.962515169;2544259598;2420647496;-123612102;0.951415295;204106000
AGO;1429;1272;-157;0.89013296;9031;7257;-1774;0.803565497;882;390;0.442176871;479605636;436019507;-43586129;0.909120899;3023865234;2856667003;-167198231;0.944707116;284948644
SEP;1465;1367;-98;0.933105802;10496;8624;-1872;0.821646341;1040;327;0.314423077;489063470;466254002;-22809468;0.953360925;3512928704;3322921005;-190007699;0.945911883;305000000
OCT;1476;1367;-109;0.926151762;11972;9991;-1981;0.834530571;831;536;0.645006017;495643518;466254002;-29389516;0.940704327;4008572222;3789175007;-219397215;0.94526799;271637540
NOV;1477;1417;-60;0.959377116;13449;11408;-2041;0.848241505;955;462;0.483769634;489223432;480814207;-8409225;0.982811075;4497795654;4269989214;-227806440;0.949351536;284489214
DIC;1023;1296;273;1.26686217;14472;12704;-1768;0.877833057;770;526;0.683116883;336070042;438691359;102621317;1.305356932;4833865696;4708680573;-125185123;0.974102482;274592263