Placa;Fecha;Exceso de velocidad;Tiempo en Exceso de velocidad;Distancia Recorrida (Km);Tiempo de Actividad;Velocidad Promedio;Maxima Velocidad;Tiempo fuera del rango de velocidad;Fuera del rango de velocidad;Frenada Fuerte;Aceleracion Fuerte;Tiempo Ralenti
4X2619;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;9/07/2018;0;0;4.7;09:26;10.1;20.6;0;0;0;0;02:45
BC540635;9/07/2018;0;0;12.1;07:26;11.3;27.6;0;0;0;0;00:07
CCD00389;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
D0000828;9/07/2018;0;0;0;00:21;0;0;0;0;0;0;0
E0001133;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;9/07/2018;0;0;0.55414;10:09;0;0;0;0;0;0;0
F0017323;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;9/07/2018;0;0;9.80766;06:55;12.6;18.5;0;0;0;0;0
RKG01398;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
WCP188;9/07/2018;0;0;69.41113;06:13;28.4;70.3;0;0;0;0;0
WCP189;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;9/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;9/07/2018;0;0;0;0;0;0;0;0;0;0;0
4X2619;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;10/07/2018;0;0;10.4;02:09;13.2;19.6;0;0;0;0;00:55
BC540635;10/07/2018;0;0;20.9;08:21;13.5;33;0;0;0;0;00:31
CCD00389;10/07/2018;0;0;0.05326;04:11;0;0;0;0;0;0;0
D0000828;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0001133;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;10/07/2018;0;0;0.23762;08:31;0;0;0;0;0;0;0
F0017323;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;10/07/2018;0;0;5.59095;07:29;9.1;20.4;0;0;0;0;0
RKG01398;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
WCP188;10/07/2018;0;0;102.25988;08:20;28;68.5;0;0;0;0;0
WCP189;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;10/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;10/07/2018;0;0;0;0;0;0;0;0;0;0;0
4X2619;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;11/07/2018;0;0;6.6;01:07;11;15.8;0;0;0;0;00:21
BC540635;11/07/2018;0;0;14.9;03:50;9.7;13;0;0;0;0;0:00
CCD00389;11/07/2018;0;0;0;02:11;0;0;0;0;0;0;0
D0000828;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0001133;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;11/07/2018;0;0;0.33524;07:05;0;0;0;0;0;0;0
F0017323;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;11/07/2018;0;0;55.50779;10:17;15.7;35.1;0;0;0;0;0
RKG01398;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
WCP188;11/07/2018;0;0;267.45228;09:52;40.8;83.2;0;0;0;0;0
WCP189;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;11/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;11/07/2018;0;0;0;0;0;0;0;0;0;0;0
4X2619;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;12/07/2018;0;0;20.4;02:16;14.5;20;0;0;0;0;00:24
BC540635;12/07/2018;0;0;0;00:13;0;0;0;0;0;0;0:00
CCD00389;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
D0000828;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0001133;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;12/07/2018;0;0;0.07888;07:54;0;0;0;0;0;0;0
F0017323;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;12/07/2018;0;0;16.20202;07:46;13.6;24.1;0;0;0;0;0
RKG01398;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;12/07/2018;0;0;0.0995;00:10;0;0;0;0;0;0;0
WCP188;12/07/2018;0;0;256.85381;08:41;44.2;92.5;0;0;0;0;0
WCP189;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;12/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;12/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;12/07/2018;0;0;0.02475;23:56;0;0;0;0;0;0;0
4X2619;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;13/07/2018;0;0;27.3;06:34;13.6;20.9;0;0;0;0;02:49
BC540635;13/07/2018;0;0;15.2;08:02;9.2;11.3;0;0;0;0;0:00
CCD00389;13/07/2018;0;0;0;13:01;0;0;0;0;0;0;0
D0000828;13/07/2018;0;0;0.17975;01:18;0;0;0;0;0;0;0
E0001133;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;13/07/2018;0;0;0.55808;06:53;5.6;5.6;0;0;0;0;0
F0017323;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;13/07/2018;0;0;18.01936;10:07;17.9;27.8;0;0;0;0;0
RKG01398;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;13/07/2018;0;0;5.82462;04:07;11;29.6;0;0;0;0;0
WCP188;13/07/2018;0;0;155.43243;07:09;44.7;77.7;0;0;0;0;0
WCP189;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;13/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;13/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;13/07/2018;0;0;0.06138;0;0;0;0;0;0;0;0
4X2619;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;14/07/2018;0;0;17.2;04:52;12.3;20.1;0;0;0;0;01:40
BC540635;14/07/2018;0;0;7.9;05:33;13.1;13.1;0;0;0;0;0:00
CCD00389;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
D0000828;14/07/2018;0;0;0.01997;00:04;0;0;0;0;0;0;0
E0001133;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;14/07/2018;0;0;0.0986;05:34;0;0;0;0;0;0;0
F0017323;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
RKG01398;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;14/07/2018;3;0;75.32588;03:42;34.8;66.6;0;0;0;0;0
WCP188;14/07/2018;0;0;171.1751;07:07;41.2;75.9;0;0;0;0;0
WCP189;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;14/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;14/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;14/07/2018;0;0;0.17523;23:55;0;0;0;0;0;0;0
4X2619;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
ALY00936;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
BC540029;15/07/2018;0;0;0;0;0;0;0;0;0;0;0:00
BC540635;15/07/2018;0;0;0;0;0;0;0;0;0;0;0:00
CCD00389;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
D0000828;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0001133;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0006478;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
E0007099;15/07/2018;0;0;0.15875;06:37;5.6;5.6;0;0;0;0;0
F0017323;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP08360;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
FDP13063;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
RKG01398;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
TMX243;15/07/2018;0;0;0.08259;00:03;0;0;0;0;0;0;0
WCP188;15/07/2018;0;0;163.17956;05:45;44.9;85.1;0;0;0;0;0
WCP189;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
PAB03338 - ALIAS: Excavadora320Cl-PAB03338 ;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
3MR02053 - ALIAS: Excavadora320B-3MR02053 ;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
DJD01667 - ALIAS: Cargador928G-DJD01667 ;15/07/2018;0;0;0;0;0;0;0;0;0;0;0
B0006808 - ALIAS: B0006808**Excavadora225N°3 ;15/07/2018;0;0;0;0;0;0;0:00;0;0;0;0:00
A8F03121 - ALIAS: A8F03121**320DL ;15/07/2018;0;0;0.09108;0;0;0;0;0;0;0;0
